addr_state,debt_to_income_ratio,emp_length,loan_amnt,status,title,zip_code
MO,100%,< 1 year,8000.0,declined,Home buying,631xx
NV,16.61%,< 1 year,3000.0,declined,Debt consolidation,895xx
IL,6.53%,10+ years,40000.0,declined,Other,600xx
FL,20.2%,< 1 year,8000.0,declined,Debt consolidation,327xx
IL,46.75%,< 1 year,3000.0,declined,Credit card refinancing,606xx
CA,15.51%,< 1 year,10000.0,declined,Debt consolidation,900xx
IL,45.93%,< 1 year,20000.0,declined,Credit card refinancing,605xx
CT,9.8%,< 1 year,15000.0,declined,Credit card refinancing,064xx
TX,100%,< 1 year,5000.0,declined,Vacation,770xx
WA,17.2,10+ years,15000.0,accepted,Debt consolidation,983xx
OH,0.84%,< 1 year,1000.0,declined,Other,432xx
MO,46.86%,< 1 year,13000.0,declined,Debt consolidation,631xx
UT,4.5%,< 1 year,20000.0,declined,Business,843xx
AR,38%,< 1 year,15000.0,declined,Moving and relocation,727xx
TX,22.97%,< 1 year,30000.0,declined,Debt consolidation,777xx
AL,0%,< 1 year,10000.0,declined,Home buying,350xx
NJ,27.7%,< 1 year,20000.0,declined,Credit card refinancing,070xx
OH,-1%,< 1 year,20000.0,declined,Business Loan,451xx
OR,32.77%,< 1 year,40000.0,declined,Debt consolidation,975xx
SC,48.87%,< 1 year,8000.0,declined,Debt consolidation,295xx
VA,55.15%,< 1 year,3000.0,declined,Other,232xx
FL,30.87%,< 1 year,30000.0,declined,Debt consolidation,330xx
TX,78.2%,< 1 year,15000.0,declined,Credit card refinancing,782xx
CA,22.32%,< 1 year,5000.0,declined,Other,951xx
SC,24.77%,< 1 year,1000.0,declined,Debt consolidation,294xx
TX,2.23%,< 1 year,22500.0,declined,Business,770xx
OH,53.3%,< 1 year,20000.0,declined,Credit card refinancing,441xx
SC,22.56%,< 1 year,5000.0,declined,Medical expenses,295xx
OK,184.87%,< 1 year,5000.0,declined,Other,736xx
FL,100%,< 1 year,1000.0,declined,Debt consolidation,331xx
CA,40.27%,< 1 year,10000.0,declined,Debt consolidation,920xx
OR,37.56%,< 1 year,40000.0,declined,Debt consolidation,976xx
CT,13.11%,< 1 year,10000.0,declined,Debt consolidation,066xx
VA,100%,< 1 year,2500.0,declined,Debt consolidation,220xx
PA,113.37%,< 1 year,7000.0,declined,Debt consolidation,191xx
VA,27.93%,< 1 year,35000.0,declined,Debt consolidation,231xx
NC,100%,< 1 year,22900.0,declined,Car financing,275xx
AZ,248.8%,< 1 year,15000.0,declined,Debt consolidation,857xx
WV,29.39%,< 1 year,10000.0,declined,Debt consolidation,260xx
NY,13.42%,< 1 year,6000.0,declined,Credit card refinancing,145xx
IL,23.16%,< 1 year,1000.0,declined,Home buying,600xx
CA,15.21%,< 1 year,35000.0,declined,Other,900xx
PA,7.04%,< 1 year,5000.0,declined,Medical expenses,191xx
NM,40.26%,< 1 year,5000.0,declined,Debt consolidation,883xx
KS,0%,< 1 year,6500.0,declined,Medical expenses,671xx
CA,20.76%,< 1 year,10000.0,declined,Credit card refinancing,935xx
NC,0%,< 1 year,1000.0,declined,Other,283xx
GA,17.28%,< 1 year,16000.0,declined,Debt consolidation,300xx
VA,26.09%,< 1 year,5000.0,declined,Debt consolidation,236xx
TN,22.41%,< 1 year,20000.0,declined,Major purchase,370xx
FL,50.92%,< 1 year,10500.0,declined,Credit card refinancing,328xx
MD,22.62%,< 1 year,8000.0,declined,Credit card refinancing,212xx
LA,0%,< 1 year,4000.0,declined,Other,708xx
VT,49.62%,< 1 year,5000.0,declined,Debt consolidation,054xx
CA,24.89%,< 1 year,15000.0,declined,Debt consolidation,953xx
GA,4.15%,< 1 year,10000.0,declined,Other,313xx
IN,0%,< 1 year,25000.0,declined,Home buying,474xx
NY,100%,< 1 year,1000.0,declined,Other,146xx
MD,2.31%,< 1 year,5000.0,declined,Debt consolidation,216xx
IN,27.62%,< 1 year,10000.0,declined,Debt consolidation,463xx
IL,2.1%,< 1 year,1000.0,declined,Major purchase,605xx
PA,24.68%,< 1 year,7500.0,declined,Debt consolidation,150xx
GA,13.29%,< 1 year,5000.0,declined,Credit card refinancing,313xx
CA,2.93%,< 1 year,10000.0,declined,Other,927xx
NJ,-1%,< 1 year,61000.0,declined,Business Loan,076xx
CA,35.31%,< 1 year,28000.0,declined,Debt consolidation,949xx
SC,48.52%,< 1 year,10000.0,declined,Credit card refinancing,296xx
VT,43.96%,< 1 year,3000.0,declined,Car financing,053xx
IN,13%,< 1 year,8000.0,declined,Other,462xx
WI,22.73%,< 1 year,5000.0,declined,Credit card refinancing,540xx
TN,31.04%,< 1 year,1000.0,declined,Debt consolidation,374xx
IL,25.28,< 1 year,36175.0,accepted,Debt consolidation,601xx
NY,13.48%,< 1 year,10000.0,declined,Moving and relocation,112xx
LA,100%,< 1 year,10000.0,declined,Credit card refinancing,710xx
WA,416%,< 1 year,10000.0,declined,Debt consolidation,994xx
WA,67.33%,< 1 year,1500.0,declined,Credit card refinancing,980xx
TX,33.65%,< 1 year,25000.0,declined,Debt consolidation,775xx
FL,36.13%,< 1 year,30000.0,declined,Other,335xx
PA,39.61%,< 1 year,10000.0,declined,Credit card refinancing,193xx
MN,18.61%,< 1 year,32000.0,declined,Debt consolidation,553xx
FL,20.27%,< 1 year,30000.0,declined,Debt consolidation,324xx
WA,15.77%,< 1 year,2500.0,declined,Credit card refinancing,993xx
VT,86.5%,< 1 year,15000.0,declined,Credit card refinancing,056xx
TN,100%,< 1 year,20000.0,declined,Home buying,380xx
PA,20.37%,< 1 year,12000.0,declined,Debt consolidation,156xx
MO,28.44%,< 1 year,10000.0,declined,Other,640xx
CA,53.13%,< 1 year,10000.0,declined,Debt consolidation,900xx
IL,28.28%,< 1 year,10000.0,declined,Credit card refinancing,606xx
MS,14.1%,< 1 year,10000.0,declined,Home buying,392xx
OH,74.73%,< 1 year,15000.0,declined,Credit card refinancing,452xx
NV,33.03%,< 1 year,25000.0,declined,Debt consolidation,891xx
FL,26.34%,< 1 year,30000.0,declined,Debt consolidation,321xx
MI,19.02%,< 1 year,2000.0,declined,Debt consolidation,496xx
CA,12.01%,< 1 year,2400.0,declined,Credit card refinancing,946xx
VA,100%,< 1 year,20000.0,declined,Credit card refinancing,223xx
MD,3.35%,< 1 year,5000.0,declined,Medical expenses,207xx
NJ,27.93%,< 1 year,6000.0,declined,Credit card refinancing,070xx
SD,32.45%,< 1 year,40000.0,declined,Credit card refinancing,575xx
NC,100%,< 1 year,40000.0,declined,Debt consolidation,275xx
KY,17.62%,< 1 year,13500.0,declined,Debt consolidation,421xx
KS,100%,< 1 year,15000.0,declined,Car financing,660xx
CA,5.88%,< 1 year,15000.0,declined,Home buying,957xx
OH,29.72,10+ years,12000.0,accepted,Credit card refinancing,433xx
CO,18.9%,< 1 year,20000.0,declined,Debt consolidation,802xx
NY,16.64%,< 1 year,5000.0,declined,Debt consolidation,120xx
PA,0.67%,< 1 year,1000.0,declined,Debt consolidation,180xx
OK,3.13%,< 1 year,1000.0,declined,Other,740xx
VA,100%,< 1 year,15000.0,declined,Major purchase,220xx
MN,17.08%,< 1 year,10000.0,declined,Credit card refinancing,554xx
CO,32%,< 1 year,1000.0,declined,Debt consolidation,802xx
AK,4.85%,< 1 year,5000.0,declined,Debt consolidation,995xx
FL,33.61%,< 1 year,29000.0,declined,Debt consolidation,334xx
MO,100%,< 1 year,25000.0,declined,Credit card refinancing,650xx
TN,100%,< 1 year,1000.0,declined,Other,380xx
IN,21.09%,< 1 year,16000.0,declined,Major purchase,465xx
LA,5.22%,< 1 year,1500.0,declined,Debt consolidation,700xx
WA,8.21%,< 1 year,1500.0,declined,Moving and relocation,982xx
TX,36.26,< 1 year,7500.0,accepted,Other,767xx
MA,5.58%,< 1 year,8000.0,declined,Credit card refinancing,019xx
PA,0.85%,< 1 year,25000.0,declined,Business,194xx
FL,42.53%,< 1 year,40000.0,declined,Credit card refinancing,341xx
TX,100%,,35500.0,declined,Car financing,796xx
CA,11.82%,< 1 year,10000.0,declined,Debt consolidation,952xx
MO,19.84%,< 1 year,25000.0,declined,Other,630xx
CA,791.43%,< 1 year,40000.0,declined,Vacation,913xx
NJ,22.71%,< 1 year,35000.0,declined,Other,070xx
FL,45.61%,< 1 year,20000.0,declined,Debt consolidation,335xx
NH,34.68%,< 1 year,5000.0,declined,Credit card refinancing,038xx
TX,33.95%,< 1 year,15000.0,declined,Debt consolidation,752xx
MA,25.64%,< 1 year,7000.0,declined,Debt consolidation,010xx
VA,2.31,10+ years,24000.0,accepted,Other,240xx
AL,100%,1 year,29075.0,declined,Car financing,365xx
CO,25.6%,< 1 year,12500.0,declined,Debt consolidation,805xx
IL,234.13%,< 1 year,25000.0,declined,Credit card refinancing,601xx
CA,24.24%,< 1 year,40000.0,declined,Debt consolidation,926xx
MO,11.38%,< 1 year,15000.0,declined,Other,630xx
TN,19.5%,< 1 year,10000.0,declined,Moving and relocation,380xx
NV,32.97%,< 1 year,7000.0,declined,Debt consolidation,890xx
RI,27.38%,< 1 year,3000.0,declined,Debt consolidation,029xx
VA,13.93%,< 1 year,25000.0,declined,Debt consolidation,236xx
TX,19.7%,< 1 year,5000.0,declined,Other,750xx
TX,63.61%,< 1 year,20000.0,declined,Moving and relocation,785xx
OH,1.2%,< 1 year,2000.0,declined,Car financing,452xx
AZ,100%,< 1 year,1000.0,declined,Other,852xx
OH,40.26%,< 1 year,30000.0,declined,Other,433xx
LA,0.53%,< 1 year,5000.0,declined,Other,714xx
AZ,2.87%,< 1 year,1500.0,declined,Other,863xx
MD,2.53%,< 1 year,10000.0,declined,Other,206xx
NV,29.32%,< 1 year,5000.0,declined,Credit card refinancing,890xx
NJ,23.47%,< 1 year,10000.0,declined,Other,088xx
FL,25.12%,< 1 year,30000.0,declined,Debt consolidation,330xx
MS,45.93%,< 1 year,35000.0,declined,Debt consolidation,393xx
CT,19.86%,< 1 year,10000.0,declined,Debt consolidation,065xx
TX,28.07%,< 1 year,4500.0,declined,Home improvement,792xx
CA,28.19%,< 1 year,17550.0,declined,Debt consolidation,950xx
CO,100%,< 1 year,40000.0,declined,Debt consolidation,802xx
RI,32.56%,< 1 year,40000.0,declined,Debt consolidation,028xx
AL,23.73%,< 1 year,5000.0,declined,Debt consolidation,356xx
FL,17.76%,< 1 year,20000.0,declined,Home buying,344xx
SC,9.16%,< 1 year,5000.0,declined,Other,294xx
IL,4.82%,< 1 year,1500.0,declined,Vacation,606xx
FL,30.1%,< 1 year,20000.0,declined,Debt consolidation,339xx
TX,286.4%,< 1 year,7000.0,declined,Debt consolidation,775xx
TX,1.68%,< 1 year,10000.0,declined,Car financing,784xx
OH,40.13%,< 1 year,20000.0,declined,Debt consolidation,450xx
AL,61.36%,< 1 year,5000.0,declined,Other,350xx
FL,17.26%,< 1 year,40000.0,declined,Home improvement,327xx
WI,61.3%,< 1 year,10000.0,declined,Credit card refinancing,532xx
TX,12.55%,< 1 year,5000.0,declined,Medical expenses,782xx
TN,100%,< 1 year,1000.0,declined,Other,378xx
KS,100%,< 1 year,1000.0,declined,Home improvement,660xx
TX,34.1%,< 1 year,30000.0,declined,Debt consolidation,799xx
FL,3.57%,< 1 year,5000.0,declined,Debt consolidation,330xx
CA,-1%,< 1 year,90000.0,declined,Business Loan,945xx
CA,35.2%,< 1 year,15000.0,declined,Debt consolidation,923xx
CA,5.4%,< 1 year,6000.0,declined,Debt consolidation,930xx
AL,7.78%,< 1 year,3500.0,declined,Major purchase,356xx
MN,27.35%,< 1 year,2000.0,declined,Debt consolidation,554xx
NY,34.68%,< 1 year,3000.0,declined,Other,126xx
NY,0.94%,< 1 year,10000.0,declined,Other,117xx
NY,46.27%,< 1 year,20000.0,declined,Other,112xx
AL,37.34%,< 1 year,10000.0,declined,Debt consolidation,368xx
NY,31.97%,< 1 year,4000.0,declined,Other,113xx
GA,100%,1 year,20325.0,declined,Car financing,398xx
MI,37.91%,< 1 year,3500.0,declined,Debt consolidation,482xx
MN,25.34%,< 1 year,5000.0,declined,Debt consolidation,553xx
NV,100%,< 1 year,20000.0,declined,Credit card refinancing,891xx
TX,49.15%,< 1 year,10000.0,declined,Debt consolidation,799xx
CA,39.07%,< 1 year,3000.0,declined,Business,925xx
AK,0%,< 1 year,1000.0,declined,Other,998xx
NY,42.53%,< 1 year,10000.0,declined,Medical expenses,113xx
CA,12.4%,< 1 year,15000.0,declined,Other,925xx
CO,45.96%,< 1 year,40000.0,declined,Debt consolidation,800xx
MN,100%,< 1 year,6000.0,declined,Debt consolidation,554xx
SC,44.84%,< 1 year,20000.0,declined,Debt consolidation,293xx
OK,3.94%,,5000.0,declined,Other,745xx
AZ,25.63%,< 1 year,25000.0,declined,Debt consolidation,860xx
KY,17.15%,< 1 year,5000.0,declined,Debt consolidation,402xx
MI,16.02,3 years,25000.0,accepted,Debt consolidation,491xx
MI,13.1%,< 1 year,5000.0,declined,Other,484xx
TN,47.87%,< 1 year,5000.0,declined,Debt consolidation,381xx
KS,8.91%,< 1 year,10000.0,declined,Home buying,662xx
CO,13%,< 1 year,40000.0,declined,Debt consolidation,801xx
CA,45.02%,< 1 year,30000.0,declined,Other,945xx
CA,100%,< 1 year,14000.0,declined,Debt consolidation,913xx
WV,27.46%,< 1 year,15000.0,declined,Credit card refinancing,254xx
MT,45.3%,< 1 year,35000.0,declined,Debt consolidation,598xx
GA,37.17%,< 1 year,15900.0,declined,Credit card refinancing,303xx
IL,23%,< 1 year,30000.0,declined,Debt consolidation,605xx
TN,9.78%,< 1 year,5000.0,declined,Business,381xx
ID,8.36%,< 1 year,25000.0,declined,Debt consolidation,833xx
TN,0%,< 1 year,2500.0,declined,Other,373xx
MO,100%,< 1 year,20000.0,declined,Debt consolidation,631xx
NC,100%,< 1 year,1400.0,declined,Medical expenses,282xx
CA,20.6%,< 1 year,10000.0,declined,Debt consolidation,945xx
AL,27.21%,< 1 year,15000.0,declined,Debt consolidation,363xx
IL,36.18%,< 1 year,40000.0,declined,Home improvement,601xx
MO,68.84%,< 1 year,40000.0,declined,Debt consolidation,640xx
IL,20.33%,< 1 year,15000.0,declined,Debt consolidation,601xx
FL,2.33%,< 1 year,10000.0,declined,Major purchase,337xx
SC,47.85%,< 1 year,30000.0,declined,Credit card refinancing,297xx
AL,28.1%,< 1 year,35000.0,declined,Debt consolidation,355xx
TX,100%,< 1 year,2000.0,declined,Debt consolidation,762xx
WA,15.66%,< 1 year,3500.0,declined,Debt consolidation,985xx
KS,5.31%,< 1 year,2000.0,declined,Debt consolidation,667xx
NC,100%,< 1 year,10000.0,declined,Home buying,282xx
NC,23.35,,12000.0,accepted,Credit card refinancing,287xx
FL,0.67%,< 1 year,2000.0,declined,Medical expenses,342xx
OR,1.67%,< 1 year,6500.0,declined,Other,974xx
TX,52.32%,< 1 year,10000.0,declined,Credit card refinancing,775xx
NY,2.78%,< 1 year,15000.0,declined,Debt consolidation,104xx
IL,11.92%,3 years,30000.0,declined,Business,606xx
KY,29.36%,< 1 year,20000.0,declined,Debt consolidation,426xx
NC,39.56%,< 1 year,15000.0,declined,Credit card refinancing,270xx
WA,16.35%,< 1 year,18000.0,declined,Credit card refinancing,983xx
CA,16.49%,< 1 year,15000.0,declined,Credit card refinancing,950xx
MI,9.08%,< 1 year,2500.0,declined,Home buying,499xx
CA,34.78%,< 1 year,5000.0,declined,Home improvement,922xx
OH,100%,< 1 year,20000.0,declined,Credit card refinancing,440xx
NY,2.21%,< 1 year,25000.0,declined,Debt consolidation,100xx
CA,21.23,2 years,20000.0,accepted,Credit card refinancing,900xx
NY,0.5%,< 1 year,2000.0,declined,Other,104xx
CA,11.58%,< 1 year,40000.0,declined,Debt consolidation,927xx
NC,22.73,< 1 year,24000.0,accepted,Debt consolidation,281xx
NV,93.17%,< 1 year,4000.0,declined,Credit card refinancing,894xx
NC,0%,< 1 year,5000.0,declined,Other,272xx
MI,24.27%,< 1 year,24000.0,declined,Credit card refinancing,483xx
WA,7.47%,< 1 year,3500.0,declined,Other,980xx
CO,39700%,< 1 year,30000.0,declined,Debt consolidation,813xx
CA,60.62%,< 1 year,3000.0,declined,Credit card refinancing,913xx
PA,100%,< 1 year,20000.0,declined,Debt consolidation,150xx
NV,17.27%,< 1 year,8500.0,declined,Debt consolidation,898xx
CA,22.16%,< 1 year,12000.0,declined,Debt consolidation,923xx
TX,1.47%,< 1 year,7000.0,declined,Other,782xx
CA,11.77,10+ years,40000.0,accepted,Debt consolidation,957xx
NV,37.02%,< 1 year,4000.0,declined,Credit card refinancing,894xx
TX,44.08%,< 1 year,20000.0,declined,Major purchase,773xx
DC,100%,< 1 year,5000.0,declined,Credit card refinancing,200xx
MD,2.04%,< 1 year,25000.0,declined,Car financing,211xx
VA,100%,< 1 year,20000.0,declined,Debt consolidation,238xx
NE,-1%,< 1 year,200000.0,declined,Business Loan,112xx
MO,30.86%,< 1 year,5000.0,declined,Debt consolidation,651xx
CA,29.71%,< 1 year,5000.0,declined,Debt consolidation,935xx
OK,36.84%,< 1 year,10000.0,declined,Debt consolidation,744xx
TN,98.09%,< 1 year,8000.0,declined,Debt consolidation,373xx
CA,22.62%,< 1 year,3000.0,declined,Debt consolidation,917xx
NC,12.27,5 years,15000.0,accepted,Debt consolidation,280xx
MO,15.25%,< 1 year,1500.0,declined,Other,633xx
FL,1.43%,< 1 year,10000.0,declined,Other,342xx
NJ,11.32%,< 1 year,4000.0,declined,Other,076xx
NY,0.2%,< 1 year,2000.0,declined,Other,112xx
SC,6.92%,< 1 year,25000.0,declined,Credit card refinancing,295xx
VA,47.85%,< 1 year,5000.0,declined,Debt consolidation,234xx
MS,38.18%,< 1 year,38000.0,declined,Credit card refinancing,392xx
SC,100%,< 1 year,16000.0,declined,Debt consolidation,292xx
NJ,8.36%,< 1 year,5000.0,declined,Debt consolidation,080xx
TX,113.69%,< 1 year,10000.0,declined,Credit card refinancing,782xx
TX,51.74%,< 1 year,3000.0,declined,Home improvement,757xx
TX,14.02%,,40000.0,declined,Credit card refinancing,755xx
TX,51.01%,< 1 year,8000.0,declined,Credit card refinancing,761xx
OH,0.93%,< 1 year,10000.0,declined,Other,441xx
FL,15.2%,< 1 year,10000.0,declined,Credit card refinancing,347xx
PA,100%,< 1 year,25000.0,declined,Credit card refinancing,191xx
NC,21.4%,< 1 year,1000.0,declined,Other,282xx
NJ,22.64%,< 1 year,1200.0,declined,Car financing,070xx
NV,14.94%,< 1 year,40000.0,declined,Home improvement,891xx
GA,0.67%,< 1 year,40000.0,declined,Moving and relocation,315xx
AR,100%,< 1 year,14925.0,declined,Credit card refinancing,720xx
IL,17.59%,< 1 year,12000.0,declined,Debt consolidation,622xx
MO,33.3%,< 1 year,2000.0,declined,Debt consolidation,630xx
OH,62.43%,< 1 year,3000.0,declined,Debt consolidation,456xx
AZ,0%,< 1 year,1000.0,declined,Medical expenses,850xx
NY,20.65,10+ years,14000.0,accepted,Other,110xx
CA,5.05%,< 1 year,1000.0,declined,Other,900xx
NM,37.79%,< 1 year,10000.0,declined,Medical expenses,882xx
WV,6%,< 1 year,2500.0,declined,Debt consolidation,250xx
CA,16.7%,< 1 year,16000.0,declined,Debt consolidation,950xx
TX,95.92%,< 1 year,20000.0,declined,Credit card refinancing,765xx
WI,17.83%,< 1 year,1000.0,declined,Other,546xx
AL,36.8%,< 1 year,1300.0,declined,Medical expenses,357xx
TX,33.78%,< 1 year,10000.0,declined,Other,797xx
CA,37.82%,< 1 year,5000.0,declined,Other,941xx
NY,12.29%,5 years,15000.0,declined,Home improvement,112xx
HI,44.55%,< 1 year,20000.0,declined,Debt consolidation,967xx
NM,15.67%,< 1 year,10000.0,declined,Debt consolidation,882xx
AZ,20.55%,< 1 year,5000.0,declined,Debt consolidation,852xx
TX,48.68%,< 1 year,20000.0,declined,Debt consolidation,750xx
VA,9.05%,< 1 year,10000.0,declined,Debt consolidation,240xx
TX,6.69%,6 years,6000.0,declined,Medical expenses,779xx
FL,0%,< 1 year,7000.0,declined,Major purchase,322xx
FL,63.71%,< 1 year,20000.0,declined,Debt consolidation,339xx
CA,9.94%,< 1 year,5000.0,declined,Credit card refinancing,913xx
FL,17.89%,< 1 year,2000.0,declined,Debt consolidation,322xx
NJ,0%,< 1 year,1000.0,declined,Other,087xx
AL,22.26%,< 1 year,20000.0,declined,Debt consolidation,355xx
CO,80.77%,< 1 year,20000.0,declined,Vacation,809xx
OK,26.06%,< 1 year,10000.0,declined,Debt consolidation,748xx
TX,5.12%,< 1 year,10000.0,declined,Credit card refinancing,750xx
MS,100%,< 1 year,8000.0,declined,Debt consolidation,387xx
CA,12.67%,< 1 year,10000.0,declined,Car financing,945xx
NY,40.31%,< 1 year,40000.0,declined,Debt consolidation,105xx
IL,46.24%,< 1 year,6000.0,declined,Other,629xx
NY,5.2%,< 1 year,12000.0,declined,Debt consolidation,114xx
IN,19.6%,< 1 year,5000.0,declined,Debt consolidation,463xx
PA,20.24%,10+ years,16000.0,declined,Debt consolidation,189xx
CO,6.93%,< 1 year,5000.0,declined,Debt consolidation,801xx
NC,31.28%,< 1 year,14025.0,declined,Debt consolidation,275xx
PA,30.33%,< 1 year,5000.0,declined,Credit card refinancing,152xx
PA,49.67%,< 1 year,1500.0,declined,Other,180xx
OH,21.56%,< 1 year,2000.0,declined,Credit card refinancing,447xx
NC,29.15%,< 1 year,15000.0,declined,Debt consolidation,280xx
CA,12.92%,< 1 year,4000.0,declined,Debt consolidation,953xx
MD,0%,< 1 year,1000.0,declined,Moving and relocation,208xx
TX,22.14%,< 1 year,10000.0,declined,Debt consolidation,766xx
MA,19.87,10+ years,10000.0,accepted,Other,018xx
NE,100%,< 1 year,15000.0,declined,Debt consolidation,685xx
NE,100%,< 1 year,11300.0,declined,Car financing,693xx
NJ,9.25%,< 1 year,7000.0,declined,Debt consolidation,076xx
CA,100%,< 1 year,35000.0,declined,Credit card refinancing,956xx
GA,13.02%,< 1 year,10000.0,declined,Debt consolidation,310xx
FL,3.01%,< 1 year,10000.0,declined,Car financing,339xx
NH,19.06%,< 1 year,1500.0,declined,Debt consolidation,038xx
CA,100%,< 1 year,40000.0,declined,Debt consolidation,920xx
NY,7.36%,< 1 year,2000.0,declined,Other,115xx
NJ,114.36%,< 1 year,10000.0,declined,Debt consolidation,088xx
NY,11.42%,< 1 year,10000.0,declined,Medical expenses,101xx
MI,100%,< 1 year,10000.0,declined,Debt consolidation,482xx
OH,32.6%,< 1 year,2500.0,declined,Debt consolidation,445xx
IL,36.73%,< 1 year,25000.0,declined,Debt consolidation,624xx
CA,7.36%,< 1 year,5000.0,declined,Debt consolidation,958xx
FL,5.1%,< 1 year,6000.0,declined,Other,339xx
FL,12.86%,< 1 year,1500.0,declined,Major purchase,347xx
TX,34.52%,,5000.0,declined,Home improvement,754xx
PA,0%,< 1 year,2000.0,declined,Car financing,170xx
OH,42.65%,< 1 year,15000.0,declined,Debt consolidation,451xx
MD,17.39%,< 1 year,1000.0,declined,Other,208xx
CA,531.34%,< 1 year,40000.0,declined,Debt consolidation,906xx
NJ,21.92%,< 1 year,35000.0,declined,Credit card refinancing,087xx
MA,100%,< 1 year,12000.0,declined,Other,019xx
WI,25.51%,< 1 year,10000.0,declined,Debt consolidation,537xx
GA,52.08%,< 1 year,7300.0,declined,Debt consolidation,305xx
NY,7.64%,< 1 year,2000.0,declined,Other,112xx
WA,12.33%,< 1 year,18000.0,declined,Debt consolidation,986xx
FL,32.42%,< 1 year,15000.0,declined,Credit card refinancing,236xx
NC,10.25%,< 1 year,29000.0,declined,Other,271xx
NY,23.27%,< 1 year,10000.0,declined,Debt consolidation,135xx
KS,21.42%,< 1 year,1800.0,declined,Debt consolidation,660xx
KS,22.32%,< 1 year,22000.0,declined,Debt consolidation,667xx
FL,19.88%,< 1 year,5000.0,declined,Credit card refinancing,325xx
CA,30.98%,< 1 year,8000.0,declined,Debt consolidation,925xx
NH,21.54%,< 1 year,10000.0,declined,Debt consolidation,030xx
TN,27.67,10+ years,17000.0,accepted,Debt consolidation,370xx
AR,34.24%,< 1 year,17000.0,declined,Credit card refinancing,728xx
WI,5.26%,< 1 year,5000.0,declined,Debt consolidation,532xx
NC,10.06%,< 1 year,15000.0,declined,Debt consolidation,275xx
CA,12.89%,10+ years,40000.0,declined,Credit card refinancing,930xx
MO,2.2%,< 1 year,5000.0,declined,Other,638xx
OH,100%,1 year,18475.0,declined,Car financing,441xx
VA,21.46,10+ years,12000.0,accepted,Debt consolidation,234xx
MN,100%,< 1 year,15000.0,declined,Debt consolidation,551xx
KY,52.68%,< 1 year,10000.0,declined,Debt consolidation,408xx
TX,33.99%,< 1 year,10000.0,declined,Debt consolidation,750xx
DC,50.56%,< 1 year,20000.0,declined,Home improvement,200xx
OR,1.45%,< 1 year,9000.0,declined,Moving and relocation,977xx
TX,38.74,,15000.0,accepted,Home improvement,765xx
CA,16.52%,< 1 year,2000.0,declined,Medical expenses,917xx
IL,30.01%,< 1 year,25000.0,declined,Debt consolidation,606xx
MO,11.32%,< 1 year,15000.0,declined,Major purchase,658xx
NJ,3.31%,< 1 year,15000.0,declined,Business,072xx
CA,40.57%,< 1 year,40000.0,declined,Debt consolidation,954xx
NY,22.27%,< 1 year,35000.0,declined,Debt consolidation,140xx
ID,23.67%,< 1 year,10000.0,declined,Debt consolidation,833xx
AR,37.86%,< 1 year,1000.0,declined,Car financing,727xx
FL,4.5%,,6000.0,declined,Debt consolidation,344xx
NJ,2%,< 1 year,5000.0,declined,Major purchase,078xx
CT,100%,< 1 year,20000.0,declined,Debt consolidation,066xx
OR,0%,< 1 year,1000.0,declined,Vacation,970xx
TN,9.25%,< 1 year,1500.0,declined,Debt consolidation,370xx
OH,0.26%,< 1 year,5000.0,declined,Other,454xx
AZ,100%,< 1 year,5000.0,declined,Other,852xx
AL,100%,< 1 year,3000.0,declined,Business,234xx
TX,100%,< 1 year,20950.0,declined,Car financing,787xx
TX,38.04%,< 1 year,10000.0,declined,Debt consolidation,787xx
VA,33.1%,< 1 year,25000.0,declined,Credit card refinancing,225xx
IN,142.96%,< 1 year,10000.0,declined,Credit card refinancing,462xx
TX,23.09%,< 1 year,5000.0,declined,Debt consolidation,752xx
NJ,100%,< 1 year,35000.0,declined,Credit card refinancing,078xx
NC,38.97%,< 1 year,40000.0,declined,Debt consolidation,285xx
RI,27.75%,< 1 year,6000.0,declined,Debt consolidation,028xx
MD,46.68%,< 1 year,5000.0,declined,Other,215xx
WA,5.24%,< 1 year,5000.0,declined,Debt consolidation,980xx
NJ,17.98%,< 1 year,25000.0,declined,Other,086xx
MS,7.33%,< 1 year,5000.0,declined,Car financing,386xx
ME,63.63%,< 1 year,35000.0,declined,Credit card refinancing,044xx
TX,18.65%,< 1 year,4500.0,declined,Moving and relocation,770xx
IN,21.24%,< 1 year,4000.0,declined,Credit card refinancing,479xx
NJ,28.72%,< 1 year,10000.0,declined,Credit card refinancing,081xx
KY,18.97%,< 1 year,5000.0,declined,Debt consolidation,421xx
NY,1%,< 1 year,5000.0,declined,Other,109xx
GA,0.53%,< 1 year,10000.0,declined,Other,300xx
PA,20.57%,< 1 year,20000.0,declined,Major purchase,156xx
FL,33.79%,1 year,10000.0,declined,Debt consolidation,331xx
TX,26.56%,< 1 year,10000.0,declined,Debt consolidation,760xx
NY,2.36%,< 1 year,1000.0,declined,Credit card refinancing,104xx
MD,13.44%,< 1 year,10000.0,declined,Debt consolidation,212xx
VA,25.12%,< 1 year,5000.0,declined,Other,231xx
TN,20.73,10+ years,30000.0,accepted,Debt consolidation,373xx
NJ,36.4%,< 1 year,6000.0,declined,Debt consolidation,081xx
IN,1.03%,< 1 year,2500.0,declined,Other,472xx
NY,37.08%,< 1 year,15000.0,declined,Other,132xx
IN,28.9%,< 1 year,20000.0,declined,Credit card refinancing,461xx
